timestamp,raw_gesture,stable_gesture,command,throttle,vx,vy,vz,yaw_rate,altitude,fps
1776435858.258,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,65.1
1776435858.274,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.50,64.9
1776435858.291,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.7
1776435858.307,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.8
1776435858.323,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.5
1776435858.339,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.6
1776435858.354,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.6
1776435858.369,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.5
1776435858.385,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.6
1776435858.401,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.3
1776435858.416,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.4
1776435858.431,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.4
1776435858.447,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.5
1776435858.462,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.4
1776435858.477,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.4
1776435858.492,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.6
1776435858.508,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.6
1776435858.523,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.6
1776435858.538,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.8
1776435858.554,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.5
1776435858.569,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.5
1776435858.586,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.4
1776435858.601,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.3
1776435858.617,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.2
1776435858.633,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.2
1776435858.648,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.4
1776435858.664,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.3
1776435858.680,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.3
1776435858.695,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.2
1776435858.711,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.1
1776435858.727,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.1
1776435858.743,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.49,64.1
1776435858.759,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.1
1776435858.774,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.2
1776435858.790,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.3
1776435858.805,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.5
1776435858.821,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.2
1776435858.836,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.4
1776435858.851,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.5
1776435858.867,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.5
1776435858.882,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.5
1776435858.897,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.5
1776435858.912,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.6
1776435858.928,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.4
1776435858.943,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.5
1776435858.960,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.3
1776435858.976,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.2
1776435858.991,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.1
1776435859.006,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.2
1776435859.021,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.3
1776435859.036,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.4
1776435859.051,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.7
1776435859.066,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.6
1776435859.083,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.5
1776435859.098,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.7
1776435859.112,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.7
1776435859.128,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.8
1776435859.143,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.9
1776435859.158,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,64.9
1776435859.173,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.0
1776435859.189,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.0
1776435859.204,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.2
1776435859.220,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.3
1776435859.235,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.3
1776435859.250,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.5
1776435859.265,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.4
1776435859.281,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.4
1776435859.296,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.3
1776435859.312,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.2
1776435859.327,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.2
1776435859.342,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.2
1776435859.358,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.2
1776435859.373,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.1
1776435859.388,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.3
1776435859.403,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.3
1776435859.419,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.5
1776435859.435,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.4
1776435859.450,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.6
1776435859.465,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.4
1776435859.481,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.3
1776435859.496,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.3
1776435859.512,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.48,65.1
1776435859.527,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.3
1776435859.542,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.5
1776435859.557,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.4
1776435859.573,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.2
1776435859.588,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.3
1776435859.604,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.2
1776435859.619,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.2
1776435859.635,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.2
1776435859.650,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.3
1776435859.665,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.2
