timestamp,raw_gesture,stable_gesture,stable_ratio,current_intent,candidate_intent,fps
2026-04-24 18:18:00,OPEN_PALM,OPEN_PALM,0.75,HOVER,HOVER,9.5
2026-04-24 18:18:01,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,8.7
2026-04-24 18:18:01,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.1
2026-04-24 18:18:01,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.4
2026-04-24 18:18:01,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,14.6
2026-04-24 18:18:01,UNKNOWN,OPEN_PALM,0.88,HOVER,HOVER,15.5
2026-04-24 18:18:01,UNKNOWN,OPEN_PALM,0.75,HOVER,HOVER,18.6
2026-04-24 18:18:02,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,20.2
2026-04-24 18:18:02,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,19.4
2026-04-24 18:18:02,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,18.2
2026-04-24 18:18:02,UNKNOWN,UNSTABLE,0.75,HOVER,HOVER,17.6
2026-04-24 18:18:02,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,17.7
2026-04-24 18:18:02,UNKNOWN,UNSTABLE,1.00,HOVER,HOVER,16.9
2026-04-24 18:18:02,OPEN_PALM,UNSTABLE,0.88,HOVER,HOVER,16.4
2026-04-24 18:18:02,OPEN_PALM,UNSTABLE,0.75,HOVER,HOVER,16.0
2026-04-24 18:18:02,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,15.4
2026-04-24 18:18:02,OPEN_PALM,UNSTABLE,0.50,HOVER,HOVER,15.1
2026-04-24 18:18:02,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,14.6
2026-04-24 18:18:03,OPEN_PALM,OPEN_PALM,0.75,HOVER,HOVER,14.3
2026-04-24 18:18:03,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,13.9
2026-04-24 18:18:03,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,13.8
2026-04-24 18:18:03,UNKNOWN,OPEN_PALM,0.88,HOVER,HOVER,13.4
2026-04-24 18:18:03,UNKNOWN,OPEN_PALM,0.75,HOVER,HOVER,13.3
2026-04-24 18:18:03,OPEN_PALM,OPEN_PALM,0.75,HOVER,HOVER,12.9
2026-04-24 18:18:03,OPEN_PALM,OPEN_PALM,0.75,HOVER,HOVER,12.8
2026-04-24 18:18:03,OPEN_PALM,OPEN_PALM,0.75,HOVER,HOVER,12.7
2026-04-24 18:18:03,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,12.5
2026-04-24 18:18:03,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,12.4
2026-04-24 18:18:03,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,12.2
2026-04-24 18:18:04,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,12.2
2026-04-24 18:18:04,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,12.0
2026-04-24 18:18:04,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,12.0
2026-04-24 18:18:04,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,11.8
2026-04-24 18:18:04,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,11.8
2026-04-24 18:18:04,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,11.7
2026-04-24 18:18:04,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,11.7
2026-04-24 18:18:04,OPEN_PALM,UNSTABLE,0.50,HOVER,HOVER,10.9
2026-04-24 18:18:04,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,11.1
2026-04-24 18:18:05,OPEN_PALM,UNSTABLE,0.50,HOVER,HOVER,11.1
2026-04-24 18:18:05,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,11.1
2026-04-24 18:18:05,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,11.1
2026-04-24 18:18:05,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,11.1
2026-04-24 18:18:05,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,11.1
2026-04-24 18:18:05,UNKNOWN,UNSTABLE,0.75,HOVER,HOVER,10.3
2026-04-24 18:18:05,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,9.8
2026-04-24 18:18:05,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,10.3
2026-04-24 18:18:05,OPEN_PALM,UNSTABLE,0.88,HOVER,HOVER,14.1
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,14.0
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,13.4
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,13.4
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,12.7
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,12.6
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,12.5
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,12.3
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,1.00,HOVER,HOVER,12.2
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,1.00,HOVER,HOVER,11.9
2026-04-24 18:18:06,UNKNOWN,UNSTABLE,1.00,HOVER,HOVER,11.8
2026-04-24 18:18:07,OPEN_PALM,UNSTABLE,0.88,HOVER,HOVER,12.0
2026-04-24 18:18:07,OPEN_PALM,UNSTABLE,0.75,HOVER,HOVER,11.5
2026-04-24 18:18:07,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,11.3
2026-04-24 18:18:07,OPEN_PALM,UNSTABLE,0.50,HOVER,HOVER,11.4
2026-04-24 18:18:07,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,13.0
2026-04-24 18:18:07,OPEN_PALM,OPEN_PALM,0.75,HOVER,HOVER,12.6
2026-04-24 18:18:07,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,12.6
2026-04-24 18:18:07,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.9
2026-04-24 18:18:07,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.5
2026-04-24 18:18:08,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.0
2026-04-24 18:18:08,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.5
2026-04-24 18:18:08,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.6
2026-04-24 18:18:08,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,10.1
2026-04-24 18:18:08,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,9.4
2026-04-24 18:18:09,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,9.6
2026-04-24 18:18:09,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,8.9
2026-04-24 18:18:09,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,8.4
2026-04-24 18:18:09,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,8.1
2026-04-24 18:18:09,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,8.4
2026-04-24 18:18:09,UNKNOWN,OPEN_PALM,0.88,HOVER,HOVER,8.8
2026-04-24 18:18:09,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,9.0
2026-04-24 18:18:09,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,9.3
2026-04-24 18:18:10,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,9.4
2026-04-24 18:18:10,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,9.6
2026-04-24 18:18:10,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,9.7
2026-04-24 18:18:10,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,9.3
2026-04-24 18:18:10,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,9.5
2026-04-24 18:18:10,UNKNOWN,OPEN_PALM,0.88,HOVER,HOVER,9.7
2026-04-24 18:18:10,UNKNOWN,OPEN_PALM,0.75,HOVER,HOVER,9.3
2026-04-24 18:18:10,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,8.9
2026-04-24 18:18:11,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,9.6
2026-04-24 18:18:11,OPEN_PALM,UNSTABLE,0.50,HOVER,HOVER,9.5
2026-04-24 18:18:11,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,9.3
2026-04-24 18:18:11,UNKNOWN,UNSTABLE,0.75,HOVER,HOVER,9.9
2026-04-24 18:18:11,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,10.4
2026-04-24 18:18:11,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,10.4
2026-04-24 18:18:11,TWO_FINGERS,UNSTABLE,0.75,HOVER,HOVER,10.5
2026-04-24 18:18:11,TWO_FINGERS,UNSTABLE,0.62,HOVER,HOVER,10.5
2026-04-24 18:18:11,TWO_FINGERS,UNSTABLE,0.50,HOVER,HOVER,9.8
2026-04-24 18:18:12,OPEN_PALM,UNSTABLE,0.50,HOVER,HOVER,9.9
2026-04-24 18:18:12,OPEN_PALM,UNSTABLE,0.38,HOVER,HOVER,10.0
2026-04-24 18:18:12,UNKNOWN,UNSTABLE,0.38,HOVER,HOVER,10.0
2026-04-24 18:18:12,UNKNOWN,UNSTABLE,0.38,HOVER,HOVER,10.2
2026-04-24 18:18:12,TWO_FINGERS,UNSTABLE,0.50,HOVER,HOVER,10.3
2026-04-24 18:18:12,TWO_FINGERS,UNSTABLE,0.50,HOVER,HOVER,10.4
2026-04-24 18:18:12,POINT,UNSTABLE,0.38,HOVER,HOVER,10.4
2026-04-24 18:18:12,TWO_FINGERS,UNSTABLE,0.38,HOVER,HOVER,10.5
2026-04-24 18:18:12,TWO_FINGERS,UNSTABLE,0.50,HOVER,HOVER,10.5
2026-04-24 18:18:12,TWO_FINGERS,UNSTABLE,0.62,HOVER,HOVER,10.6
2026-04-24 18:18:12,TWO_FINGERS,TWO_FINGERS,0.75,HOVER,FORWARD,10.6
2026-04-24 18:18:13,TWO_FINGERS,TWO_FINGERS,0.88,HOVER,FORWARD,10.7
2026-04-24 18:18:13,TWO_FINGERS,TWO_FINGERS,0.88,HOVER,FORWARD,10.7
